lambda,mu,theta,p,gamma,regime,target_delay_eps,c_sim_argmin,delay_sim_at_c,c_fluid,c_diffusion
100.0,1.0,1.0,0.1,0.5,UL,0.25,131.0,0.22,126.74,127.39
100.0,1.0,1.0,0.1,0.5,UL,0.5,122.0,0.47,120.0,120.0
100.0,1.0,1.0,0.5,0.1,UL,0.01,697.0,0.05,621.46,652.56
100.0,1.0,1.0,0.5,0.1,UL,0.05,697.0,0.05,616.45,640.29
100.0,1.0,1.0,0.5,0.1,UL,0.1,688.0,0.08,612.82,631.39
100.0,1.0,1.0,0.5,0.1,UL,0.25,668.0,0.24,606.74,616.52
100.0,1.0,1.0,0.5,0.1,UL,0.5,636.0,0.49,600.0,600.0
100.0,1.0,1.0,0.5,0.5,UL,0.01,249.0,0.01,221.46,230.34
100.0,1.0,1.0,0.5,0.5,UL,0.05,238.0,0.04,216.45,223.26
100.0,1.0,1.0,0.5,0.5,UL,0.1,231.0,0.1,212.82,218.12
100.0,1.0,1.0,0.5,0.5,UL,0.25,222.0,0.23,206.74,209.54
100.0,1.0,1.0,0.5,0.5,UL,0.5,210.0,0.49,200.0,200.0
100.0,1.0,1.0,0.5,1.0,UL,0.01,186.0,0.0,171.46,176.28
100.0,1.0,1.0,0.5,1.0,UL,0.05,177.0,0.04,166.45,170.15
100.0,1.0,1.0,0.5,1.0,UL,0.1,172.0,0.09,162.82,165.7
100.0,1.0,1.0,0.5,1.0,UL,0.25,164.0,0.25,156.74,158.26
100.0,1.0,1.0,0.5,1.0,UL,0.5,156.0,0.49,150.0,150.0
100.0,1.0,1.0,0.5,10.0,UL,0.01,130.0,0.01,126.46,126.99
100.0,1.0,1.0,0.5,10.0,UL,0.05,124.0,0.05,121.45,121.85
100.0,1.0,1.0,0.5,10.0,UL,0.1,120.0,0.09,117.82,118.13
100.0,1.0,1.0,0.5,10.0,UL,0.25,113.0,0.23,111.74,111.91
100.0,1.0,1.0,0.5,10.0,UL,0.5,106.0,0.49,105.0,105.0
100.0,1.0,1.0,0.8,0.5,UL,0.01,320.0,0.01,281.46,294.6
100.0,1.0,1.0,0.8,0.5,UL,0.05,308.0,0.04,276.45,286.52
100.0,1.0,1.0,0.8,0.5,UL,0.1,300.0,0.09,272.82,280.66
100.0,1.0,1.0,0.8,0.5,UL,0.25,289.0,0.23,266.74,270.88
100.0,1.0,1.0,0.8,0.5,UL,0.5,275.0,0.49,260.0,260.0
100.0,1.0,2.0,0.5,0.5,UL,0.01,246.0,0.01,221.46,230.34
100.0,1.0,2.0,0.5,0.5,UL,0.05,236.0,0.04,216.45,223.26
100.0,1.0,2.0,0.5,0.5,UL,0.1,230.0,0.09,212.82,218.12
100.0,1.0,2.0,0.5,0.5,UL,0.25,219.0,0.24,206.74,209.54
100.0,1.0,2.0,0.5,0.5,UL,0.5,204.0,0.5,200.0,200.0
100.0,10.0,1.0,0.5,0.5,UL,0.01,151.0,0.0,116.79,132.5
100.0,10.0,1.0,0.5,0.5,UL,0.05,142.0,0.05,115.2,127.25
100.0,10.0,1.0,0.5,0.5,UL,0.1,137.0,0.08,114.05,123.44
100.0,10.0,1.0,0.5,0.5,UL,0.25,130.0,0.2,112.13,117.07
100.0,10.0,1.0,0.5,0.5,UL,0.5,123.0,0.48,110.0,110.0
120.0,0.5,1.0,0.5,0.5,UL,0.01,418.0,0.01,393.24,400.71
120.0,0.5,1.0,0.5,0.5,UL,0.05,405.0,0.04,385.48,391.21
120.0,0.5,1.0,0.5,0.5,UL,0.1,398.0,0.08,379.85,384.32
120.0,0.5,1.0,0.5,0.5,UL,0.25,383.0,0.24,370.45,372.8
120.0,0.5,1.0,0.5,0.5,UL,0.5,369.0,0.45,360.0,360.0
120.0,1.0,0.5,0.5,0.5,UL,0.01,293.0,0.01,263.5,273.24
120.0,1.0,0.5,0.5,0.5,UL,0.05,281.0,0.05,258.02,265.48
120.0,1.0,0.5,0.5,0.5,UL,0.1,277.0,0.09,254.04,259.85
120.0,1.0,0.5,0.5,0.5,UL,0.25,265.0,0.24,247.39,250.45
120.0,1.0,0.5,0.5,0.5,UL,0.5,256.0,0.48,240.0,240.0
120.0,1.0,1.0,0.1,0.5,UL,0.01,176.0,0.01,167.5,169.75
120.0,1.0,1.0,0.1,0.5,UL,0.05,167.0,0.05,162.02,163.74
120.0,1.0,1.0,0.1,0.5,UL,0.1,163.0,0.1,158.04,159.38
120.0,1.0,1.0,0.1,0.5,UL,0.25,156.0,0.22,151.39,152.09
120.0,1.0,1.0,0.1,0.5,UL,0.5,147.0,0.45,144.0,144.0
120.0,1.0,1.0,0.5,0.1,UL,0.01,819.0,0.12,743.5,777.57
120.0,1.0,1.0,0.5,0.1,UL,0.05,819.0,0.12,738.02,764.14
120.0,1.0,1.0,0.5,0.1,UL,0.1,819.0,0.12,734.04,754.39
120.0,1.0,1.0,0.5,0.1,UL,0.25,801.0,0.24,727.39,738.1
120.0,1.0,1.0,0.5,0.1,UL,0.5,767.0,0.5,720.0,720.0
120.0,1.0,1.0,0.5,0.5,UL,0.01,294.0,0.01,263.5,273.24
120.0,1.0,1.0,0.5,0.5,UL,0.05,280.0,0.05,258.02,265.48
120.0,1.0,1.0,0.5,0.5,UL,0.1,275.0,0.09,254.04,259.85
120.0,1.0,1.0,0.5,0.5,UL,0.25,265.0,0.23,247.39,250.45
120.0,1.0,1.0,0.5,0.5,UL,0.5,253.0,0.48,240.0,240.0
120.0,1.0,1.0,0.5,1.0,UL,0.01,219.0,0.01,203.5,208.79
120.0,1.0,1.0,0.5,1.0,UL,0.05,210.0,0.04,198.02,202.07
120.0,1.0,1.0,0.5,1.0,UL,0.1,206.0,0.09,194.04,197.19
120.0,1.0,1.0,0.5,1.0,UL,0.25,198.0,0.18,187.39,189.05
120.0,1.0,1.0,0.5,1.0,UL,0.5,187.0,0.49,180.0,180.0
120.0,1.0,1.0,0.5,10.0,UL,0.01,155.0,0.01,149.5,150.09
120.0,1.0,1.0,0.5,10.0,UL,0.05,146.0,0.05,144.02,144.46
120.0,1.0,1.0,0.5,10.0,UL,0.1,143.0,0.09,140.04,140.39
120.0,1.0,1.0,0.5,10.0,UL,0.25,135.0,0.25,133.39,133.57
120.0,1.0,1.0,0.5,10.0,UL,0.5,128.0,0.44,126.0,126.0
120.0,1.0,1.0,0.8,0.5,UL,0.01,382.0,0.0,335.5,349.9
120.0,1.0,1.0,0.8,0.5,UL,0.05,367.0,0.03,330.02,341.05
120.0,1.0,1.0,0.8,0.5,UL,0.1,361.0,0.08,326.04,334.64
120.0,1.0,1.0,0.8,0.5,UL,0.25,346.0,0.23,319.39,323.91
120.0,1.0,1.0,0.8,0.5,UL,0.5,332.0,0.48,312.0,312.0
120.0,1.0,2.0,0.5,0.5,UL,0.01,294.0,0.01,263.5,273.24
120.0,1.0,2.0,0.5,0.5,UL,0.05,280.0,0.04,258.02,265.48
120.0,1.0,2.0,0.5,0.5,UL,0.1,273.0,0.1,254.04,259.85
120.0,1.0,2.0,0.5,0.5,UL,0.25,261.0,0.2,247.39,250.45
120.0,1.0,2.0,0.5,0.5,UL,0.5,246.0,0.49,240.0,240.0
120.0,10.0,1.0,0.5,0.5,UL,0.01,177.0,0.01,139.43,156.65
120.0,10.0,1.0,0.5,0.5,UL,0.05,168.0,0.04,137.7,150.9
120.0,10.0,1.0,0.5,0.5,UL,0.1,164.0,0.09,136.44,146.72
120.0,10.0,1.0,0.5,0.5,UL,0.25,156.0,0.2,134.34,139.75
120.0,10.0,1.0,0.5,0.5,UL,0.5,147.0,0.49,132.0,132.0
